rule,start,end,minutes,peak,roof_max,side_max,shade_min,lights_max,open_delay_min,reaction,attribution,fog_during_s_per_min,fog_after_s_per_min
overtemp,2026-08-07 11:21:00,2026-08-07 13:00:00,100,51.4,100.0,100.0,0.0,,92.0,late (92 min),ambiguous: opening may be the scheduled program,,
overtemp,2026-08-07 13:17:00,2026-08-07 13:53:00,37,50.2,100.0,100.0,0.0,,28.0,as prescribed,ambiguous: opening may be the scheduled program,,
overtemp,2026-08-07 14:06:00,2026-08-07 14:45:00,40,50.3,100.0,100.0,0.0,,27.0,as prescribed,ambiguous: opening may be the scheduled program,,
overtemp,2026-08-07 14:48:00,2026-08-07 15:35:00,48,50.8,100.0,100.0,0.0,,32.0,late (32 min),ambiguous: opening may be the scheduled program,,
overtemp,2026-08-07 15:49:00,2026-08-07 17:20:00,92,51.5,100.0,100.0,0.0,,28.0,as prescribed,ambiguous: opening may be the scheduled program,,
overtemp,2026-08-07 17:35:00,2026-08-07 18:29:00,55,50.8,100.0,100.0,0.0,10.0,43.0,late (43 min),ambiguous: opening may be the scheduled program,,
overtemp,2026-08-08 11:30:00,2026-08-08 12:18:00,49,49.3,75.0,0.0,0.0,0.0,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-08-08 13:35:00,2026-08-08 13:35:00,1,45.1,75.0,0.0,0.0,0.0,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-08-08 13:48:00,2026-08-08 13:52:00,5,45.1,75.0,0.0,0.0,0.0,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-08-08 13:54:00,2026-08-08 13:54:00,1,45.0,75.0,0.0,0.0,0.0,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-08-08 13:56:00,2026-08-08 13:57:00,2,45.1,75.0,0.0,0.0,0.0,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-08-08 14:05:00,2026-08-08 14:41:00,37,50.5,100.0,100.0,0.0,0.0,26.0,as prescribed,ambiguous: opening may be the scheduled program,,
overtemp,2026-08-08 14:45:00,2026-08-08 18:16:00,212,51.1,75.0,0.0,0.0,0.0,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-08-09 11:36:00,2026-08-09 13:50:00,135,51.1,100.0,100.0,0.0,0.0,75.0,late (75 min),ambiguous: opening may be the scheduled program,,
overtemp,2026-08-09 14:04:00,2026-08-09 14:40:00,37,50.2,100.0,100.0,0.0,0.0,28.0,as prescribed,ambiguous: opening may be the scheduled program,,
overtemp,2026-08-09 14:55:00,2026-08-09 15:11:00,17,47.0,100.0,0.0,0.0,0.0,9.0,as prescribed,ambiguous: opening may be the scheduled program,,
overtemp,2026-08-09 17:23:00,2026-08-09 18:12:00,50,49.3,25.0,0.0,0.0,0.0,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-08-10 11:32:00,2026-08-10 12:51:00,80,50.8,100.0,100.0,0.0,0.0,71.0,late (71 min),ambiguous: opening may be the scheduled program,,
overtemp,2026-08-10 13:02:00,2026-08-10 13:42:00,41,50.2,100.0,100.0,0.0,0.0,32.0,late (32 min),ambiguous: opening may be the scheduled program,,
overtemp,2026-08-10 13:55:00,2026-08-10 14:37:00,43,50.5,100.0,100.0,0.0,0.0,38.0,late (38 min),ambiguous: opening may be the scheduled program,,
